Index,Direction,Time Stamp,Frame ID,Format,Type,Data Length,Data(HEX)
0,Receive,13:53:12.723.0,0x15100010,Data,Extend,0x08,7e 04 7e 04 7e 04 7e 04 
1,Receive,13:53:12.725.0,0x15200010,Data,Extend,0x08,7e 04 7e 04 7e 04 7e 04 
2,Send,13:53:12.726.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
3,Receive,13:53:12.727.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
4,Receive,13:53:12.729.0,0x00000600,Data,Standard,0x08,2b 69 50 a5 ff b8 f0 00 
5,Receive,13:53:12.731.0,0x15300010,Data,Extend,0x08,7e 04 7e 04 7e 04 7e 0e 
6,Receive,13:53:12.733.0,0x16500015,Data,Extend,0x08,5f 16 45 00 1a 05 00 00 
7,Receive,13:53:12.737.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
8,Send,13:53:12.738.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
9,Receive,13:53:12.739.0,0x00000600,Data,Standard,0x08,3b 79 50 a5 ff b8 f0 00 
10,Receive,13:53:12.741.0,0x0000032f,Data,Standard,0x08,50 47 42 35 30 32 36 37 
11,Receive,13:53:12.743.0,0x0000032e,Data,Standard,0x08,00 00 00 00 00 00 00 00 
12,Receive,13:53:12.745.0,0x00000622,Data,Standard,0x08,00 3b 3c 00 00 00 00 00 
13,Receive,13:53:12.747.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
14,Receive,13:53:12.749.0,0x00000600,Data,Standard,0x08,cb 89 50 a5 ff b8 f0 00 
15,Send,13:53:12.750.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
16,Receive,13:53:12.757.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
17,Receive,13:53:12.759.0,0x00000600,Data,Standard,0x08,db 99 50 a5 ff b8 f0 00 
18,Send,13:53:12.762.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
19,Receive,13:53:12.767.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
20,Receive,13:53:12.769.0,0x00000600,Data,Standard,0x08,eb a9 50 a5 ff b8 f0 00 
21,Send,13:53:12.774.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
22,Receive,13:53:12.777.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
23,Receive,13:53:12.779.0,0x00000600,Data,Standard,0x08,fb b9 50 a5 ff b8 f0 00 
24,Send,13:53:12.786.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
25,Receive,13:53:12.787.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
26,Receive,13:53:12.789.0,0x00000600,Data,Standard,0x08,8b c9 50 a5 ff b8 f0 00 
27,Receive,13:53:12.797.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
28,Receive,13:53:12.798.0,0x00000600,Data,Standard,0x08,9b d9 50 a5 ff b8 f0 00 
29,Send,13:53:12.798.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
30,Receive,13:53:12.806.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
31,Receive,13:53:12.808.0,0x00000600,Data,Standard,0x08,ab e9 50 a5 ff b8 f0 00 
32,Receive,13:53:12.810.0,0x00000601,Data,Standard,0x08,4e a9 20 00 00 00 3f f8 
33,Send,13:53:12.810.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
34,Receive,13:53:12.812.0,0x00000602,Data,Standard,0x08,68 a6 40 00 00 00 03 8d 
35,Receive,13:53:12.814.0,0x00000604,Data,Standard,0x08,fa a8 28 7b 81 7f 2e d1 
36,Receive,13:53:12.817.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
37,Receive,13:53:12.819.0,0x00000600,Data,Standard,0x08,bb f9 50 a5 ff b8 f0 00 
38,Receive,13:53:12.821.0,0x15000010,Data,Extend,0x08,7e 04 7e 04 7e 04 7e 04 
39,Send,13:53:12.822.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
40,Receive,13:53:12.823.0,0x15100010,Data,Extend,0x08,7e 04 7e 04 7e 04 7e 04 
41,Receive,13:53:12.825.0,0x15200010,Data,Extend,0x08,7e 04 7e 04 7e 04 7e 04 
42,Receive,13:53:12.827.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
43,Receive,13:53:12.829.0,0x00000600,Data,Standard,0x08,4b 09 50 a5 ff b8 f0 00 
44,Receive,13:53:12.830.0,0x15300010,Data,Extend,0x08,7e 04 7e 04 7e 04 7e 0e 
45,Receive,13:53:12.833.0,0x16500015,Data,Extend,0x08,5f 16 45 00 1a 05 00 00 
46,Send,13:53:12.834.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
47,Receive,13:53:12.837.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
48,Receive,13:53:12.839.0,0x00000600,Data,Standard,0x08,4b 09 50 a5 ff b8 f0 00 
49,Receive,13:53:12.841.0,0x0000032f,Data,Standard,0x08,50 47 42 35 30 32 36 37 
50,Receive,13:53:12.842.0,0x0000032e,Data,Standard,0x08,00 00 00 00 00 00 00 00 
51,Send,13:53:12.845.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
52,Receive,13:53:12.846.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
53,Receive,13:53:12.848.0,0x00000600,Data,Standard,0x08,5b 19 50 a5 ff b8 f0 00 
54,Receive,13:53:12.857.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
55,Send,13:53:12.858.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
56,Receive,13:53:12.859.0,0x00000600,Data,Standard,0x08,6b 29 50 a5 ff b8 f0 00 
57,Receive,13:53:12.865.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
58,Receive,13:53:12.869.0,0x00000600,Data,Standard,0x08,7b 39 50 a5 ff b8 f0 00 
59,Send,13:53:12.869.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
60,Receive,13:53:12.877.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
61,Receive,13:53:12.879.0,0x00000600,Data,Standard,0x08,0b 49 50 a5 ff b8 f0 00 
62,Send,13:53:12.882.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
63,Receive,13:53:12.885.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
64,Receive,13:53:12.887.0,0x00000600,Data,Standard,0x08,1b 59 50 a5 ff b8 f0 00 
65,Send,13:53:12.893.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
66,Receive,13:53:12.896.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
67,Receive,13:53:12.899.0,0x00000600,Data,Standard,0x08,2b 69 50 a5 ff b8 f0 00 
68,Send,13:53:12.905.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
69,Receive,13:53:12.907.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
70,Receive,13:53:12.907.0,0x00000600,Data,Standard,0x08,3b 79 50 a5 ff b8 f0 00 
71,Receive,13:53:12.910.0,0x00000601,Data,Standard,0x08,5e b9 20 00 00 00 3f f8 
72,Receive,13:53:12.912.0,0x00000602,Data,Standard,0x08,78 b6 40 00 00 00 03 8d 
73,Receive,13:53:12.914.0,0x00000604,Data,Standard,0x08,ec b8 28 7d 81 7f 2e d1 
74,Receive,13:53:12.916.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
75,Send,13:53:12.917.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
76,Receive,13:53:12.918.0,0x00000600,Data,Standard,0x08,cb 89 50 a5 ff b8 f0 00 
77,Receive,13:53:12.920.0,0x15000010,Data,Extend,0x08,7e 04 7e 04 7e 04 7e 04 
78,Receive,13:53:12.922.0,0x15100010,Data,Extend,0x08,7e 04 7e 04 7e 04 7e 04 
79,Receive,13:53:12.924.0,0x15200010,Data,Extend,0x08,7e 04 7e 04 7e 04 7e 04 
80,Receive,13:53:12.926.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
81,Receive,13:53:12.928.0,0x00000600,Data,Standard,0x08,db 99 50 a5 ff b8 f0 00 
82,Send,13:53:12.929.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
83,Receive,13:53:12.930.0,0x15300010,Data,Extend,0x08,7e 04 7e 04 7e 04 7e 04 
84,Receive,13:53:12.932.0,0x16500015,Data,Extend,0x08,5f 16 45 00 1a 05 00 00 
85,Receive,13:53:12.936.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
86,Receive,13:53:12.938.0,0x00000600,Data,Standard,0x08,eb a9 50 a5 ff b8 f0 00 
87,Receive,13:53:12.940.0,0x0000032f,Data,Standard,0x08,50 47 42 35 30 32 36 37 
88,Send,13:53:12.941.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
89,Receive,13:53:12.942.0,0x0000032e,Data,Standard,0x08,00 00 00 00 00 00 00 00 
90,Receive,13:53:12.946.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
91,Receive,13:53:12.948.0,0x00000600,Data,Standard,0x08,fb b9 50 a5 ff b8 f0 00 
92,Send,13:53:12.952.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
