Index,Direction,Time Stamp,Frame ID,Format,Type,Data Length,Data(HEX)
5726,Receive,14:40:37.881.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
5727,Receive,14:40:37.881.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 08 00 00 
5728,Send,14:40:37.888.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
5729,Receive,14:40:37.890.0,0x00000022,Data,Standard,0x08,19 64 4e 02 27 e8 04 00 
5730,Receive,14:40:37.890.0,0x00000024,Data,Standard,0x08,04 c2 00 00 04 c2 00 00 
5731,Receive,14:40:37.890.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
5732,Receive,14:40:37.891.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 09 00 00 
5733,Send,14:40:37.898.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
5734,Receive,14:40:37.899.0,0x00000022,Data,Standard,0x08,19 64 4e 02 27 e8 04 00 
5735,Receive,14:40:37.900.0,0x00000024,Data,Standard,0x08,04 c2 00 00 04 c2 00 00 
5736,Receive,14:40:37.901.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
5737,Receive,14:40:37.901.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 0a 00 00 
5738,Receive,14:40:37.903.0,0x00000023,Data,Standard,0x08,28 0a 14 46 00 00 01 91 
5739,Receive,14:40:37.904.0,0x00000026,Data,Standard,0x08,4f 4f 23 45 45 45 45 46 
5740,Receive,14:40:37.905.0,0x00000027,Data,Standard,0x08,05 60 00 42 f0 03 99 e0 
5741,Receive,14:40:37.906.0,0x00000028,Data,Standard,0x08,01 42 01 42 04 10 00 00 
5742,Receive,14:40:37.906.0,0x0000002d,Data,Standard,0x08,00 00 04 00 00 00 00 00 
5743,Receive,14:40:37.909.0,0x00000029,Data,Standard,0x08,0c 99 0c 9a 0c 99 0c 9a 
5744,Receive,14:40:37.910.0,0x0000002a,Data,Standard,0x08,0c 99 0c 99 0c 99 0c 99 
5745,Receive,14:40:37.910.0,0x0000002b,Data,Standard,0x08,0c 99 0c 99 0c 9a 0c 99 
5746,Receive,14:40:37.911.0,0x0000002c,Data,Standard,0x08,0c 99 0c 9a 0c 9a 0c 98 
5747,Send,14:40:37.911.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
5748,Receive,14:40:37.912.0,0x0000002f,Data,Standard,0x08,00 00 00 00 00 00 00 00 
5749,Receive,14:40:37.912.0,0x00000050,Data,Standard,0x08,00 00 00 00 00 00 00 00 
5750,Receive,14:40:37.913.0,0x00000051,Data,Standard,0x08,00 00 00 00 c8 22 81 00 
5751,Receive,14:40:37.916.0,0x00000052,Data,Standard,0x08,01 86 a0 43 00 00 00 04 
5752,Receive,14:40:37.916.0,0x00000053,Data,Standard,0x08,00 00 04 00 00 00 00 00 
5753,Receive,14:40:37.917.0,0x00000054,Data,Standard,0x08,00 00 00 00 00 00 00 00 
5754,Receive,14:40:37.918.0,0x00000022,Data,Standard,0x08,19 63 4e 02 27 e8 04 00 
5755,Receive,14:40:37.919.0,0x00000024,Data,Standard,0x08,04 c2 00 00 04 c2 00 00 
5756,Receive,14:40:37.920.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
5757,Receive,14:40:37.920.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 01 00 00 
5758,Receive,14:40:37.922.0,0x00000022,Data,Standard,0x08,19 63 4e 02 27 e8 04 00 
5759,Receive,14:40:37.922.0,0x00000024,Data,Standard,0x08,04 c2 00 00 04 c2 00 00 
5760,Send,14:40:37.923.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
5761,Receive,14:40:37.925.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
5762,Receive,14:40:37.925.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 02 00 00 
5763,Receive,14:40:37.930.0,0x00000022,Data,Standard,0x08,19 63 4e 02 27 e8 04 00 
5764,Receive,14:40:37.930.0,0x00000024,Data,Standard,0x08,04 c2 00 00 04 c2 00 00 
5765,Receive,14:40:37.931.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
5766,Receive,14:40:37.932.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 03 00 00 
5767,Send,14:40:37.936.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
5768,Receive,14:40:37.939.0,0x00000022,Data,Standard,0x08,19 63 4e 02 27 e8 04 00 
5769,Receive,14:40:37.939.0,0x00000024,Data,Standard,0x08,04 c2 00 00 04 c2 00 00 
5770,Receive,14:40:37.940.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
5771,Receive,14:40:37.942.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 04 00 00 
5772,Send,14:40:37.947.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
5773,Receive,14:40:37.950.0,0x00000022,Data,Standard,0x08,19 63 4e 02 27 e8 04 00 
5774,Receive,14:40:37.950.0,0x00000024,Data,Standard,0x08,04 c2 00 00 04 c2 00 00 
5775,Receive,14:40:37.953.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
5776,Receive,14:40:37.953.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 05 00 00 
5777,Send,14:40:37.960.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
5778,Receive,14:40:37.961.0,0x00000022,Data,Standard,0x08,19 64 4e 02 27 e8 04 00 
5779,Receive,14:40:37.961.0,0x00000024,Data,Standard,0x08,04 c2 00 00 04 c2 00 00 
5780,Receive,14:40:37.961.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
5781,Receive,14:40:37.962.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 06 00 00 
