Index,Direction,Timesteamp,Name,ID,PGN(H),Addr Src(H),Addr Dst(H),Format,Type,Length,Data,Comment,
1,Receive,86175.0696,BMS_Cell_Voltage_info9,00000151,--,--,--,Standard,Data frm,08,E7 0C E7 0C E7 0C E6 0C ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,BMS_CellVoltage73,3.303V,--,,CE7,0,16,0.001,0,,
,BMS_CellVoltage74,3.303V,--,,CE7,16,16,0.001,0,,
,BMS_CellVoltage75,3.302V,--,,CE6,32,16,0.001,0,,
,BMS_CellVoltage76,3.302V,--,,CE6,48,16,0.001,0,,
12,Receive,86175.0117,BMS_Cell_Voltage_info20,00000162,--,--,--,Standard,Data frm,08,E7 0C E7 0C E7 0C E7 0C ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,BMS_CellVoltage77,3.303V,--,,CE7,0,16,0.001,0,,
,BMS_CellVoltage78,3.303V,--,,CE7,16,16,0.001,0,,
,BMS_CellVoltage79,3.303V,--,,CE7,32,16,0.001,0,,
,BMS_CellVoltage80,3.303V,--,,CE7,48,16,0.001,0,,
13,Receive,86175.0177,BMS_Cell_Voltage_info21,00000163,--,--,--,Standard,Data frm,08,E6 0C E7 0C E6 0C E7 0C ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,BMS_CellVoltage81,3.302V,--,,CE6,0,16,0.001,0,,
,BMS_CellVoltage82,3.302V,--,,CE6,16,16,0.001,0,,
,BMS_CellVoltage83,3.302V,--,,CE6,32,16,0.001,0,,
,BMS_CellVoltage84,3.303V,--,,CE7,48,16,0.001,0,,
14,Receive,86175.0217,BMS_Cell_Voltage_info22,00000164,--,--,--,Standard,Data frm,08,E6 0C E7 0C E6 0C E6 0C ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,BMS_CellVoltage85,3.303V,--,,CE7,0,16,0.001,0,,
,BMS_CellVoltage86,3.303V,--,,CE7,16,16,0.001,0,,
,BMS_CellVoltage87,3.302V,--,,CE6,32,16,0.001,0,,
,BMS_CellVoltage88,3.302V,--,,CE6,48,16,0.001,0,,
15,Receive,86175.0237,BMS_Cell_Voltage_info23,00000165,--,--,--,Standard,Data frm,08,E6 0C E6 0C E6 0C E6 0C ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,BMS_CellVoltage89,3.302V,--,,CE6,0,16,0.001,0,,
,BMS_CellVoltage90,3.302V,--,,CE6,16,16,0.001,0,,
,BMS_CellVoltage91,3.302V,--,,CE6,32,16,0.001,0,,
,BMS_CellVoltage92,3.302V,--,,CE6,48,16,0.001,0,,
16,Receive,86175.0297,BMS_Cell_Voltage_info24,00000166,--,--,--,Standard,Data frm,08,E6 0C E6 0C E6 0C E4 0C ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,BMS_CellVoltage93,3.302V,--,,CE6,0,16,0.001,0,,
,BMS_CellVoltage94,3.302V,--,,CE6,16,16,0.001,0,,
,BMS_CellVoltage95,3.302V,--,,CE6,32,16,0.001,0,,
,BMS_CellVoltage96,3.3V,--,,CE4,48,16,0.001,0,,
17,Receive,86175.0357,BMS_States,00000120,--,--,--,Standard,Data frm,08,25 61 00 00 07 01 3B 01 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,Checksum_120,171,--,,AB,0,8,1,0,,
,MessageCounter_120,6,--,,6,8,4,1,0,,
,BMS_PackState,6,Fault_Critical,,6,12,4,1,0,,
,BMS_JunctionBoxStatus,3,Fault,,3,32,2,1,0,,
,BMS_IVM_State,1,ISO_on,,1,34,2,1,0,,
,BMS_RequestCooling,0,off,,0,36,2,1,0,,
,BMS_BalanceStatus,0,Balance Inactive,,0,38,2,1,0,,
,IGN_Relay_Status,1,1: on,,1,40,1,1,0,,
,BMS_DCBusVoltage,315V,--,,13B,48,16,1,0,,
18,Receive,86175.0359,BMS_V_I_RISO,00000121,--,--,--,Standard,Data frm,08,8D 01 00 00 3D 01 FF 0F ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,Checksum_121,3,--,,3,0,8,1,0,,
,MessageCounter_121,6,--,,6,8,4,1,0,,
,BMS_PackCurrent,0A,--,,0,16,12,1,0,,
,BMS_PackVoltage,317V,--,,13D,32,10,1,0,,
,BMS_SystemIsoRes,4095,--,,FFF,48,12,1,0,,
19,Receive,86175.0362,BMS_VandILimits,00000122,--,--,--,Standard,Data frm,08,DB 01 00 00 00 00 5E 01 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,Checksum_122,85,--,,55,0,8,1,0,,
,MessageCounter_122,6,--,,6,8,4,1,0,,
,BMS_MaxContDisChrgCurrent,0A,--,,0,16,9,1,0,,
,BMS_MaxContChrgCurrent,0A,--,,0,32,9,1,0,,
,BMS_MaxBatVoltAllowed,350V,--,,15E,48,16,1,0,,
20,Receive,86174.7385,BMS_Tcell,00000123,--,--,--,Standard,Data frm,08,67 39 39 00 00 00 00 00 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,Checksum_123,103,--,,67,0,8,1,0,,
,BMS_MaxCellTemp,27,--,,39,8,8,1,-30,,
,BMS_MinCellTemp,27,--,,39,16,8,1,-30,,
,BMS_Tmax_SubPack_ID,1,--,,0,24,4,1,1,,
,BMS_Tmin_SubPack_ID,1,--,,0,28,4,1,1,,
,BMS_Tmax_Cell_ID,1,--,,0,32,7,1,1,,
,BMS_Tmin_Cell_ID,1,--,,0,40,7,1,1,,
21,Receive,86174.7388,BMS_Vcell,00000125,--,--,--,Standard,Data frm,08,72 06 E7 0C 01 E4 0C 36 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,Checksum_125,160,--,,A0,0,8,1,0,,
,MessageCounter_125,14,--,,E,8,4,1,0,,
,BMS_PackMaxCellVoltage,3.303V,--,,CE7,16,12,0.001,0,,
,BMS_Vmax_SubPack_ID,1,--,,0,28,4,1,1,,
,BMS_Vmax_Cell_ID,2,--,,1,32,7,1,1,,
,BMS_PackMinCellVoltage,3.3V,--,,CE4,40,12,0.001,0,,
,BMS_Vmin_SubPack_ID,1,--,,0,52,4,1,1,,
,BMS_Vmin_Cell_ID,55,--,,36,56,7,1,1,,
22,Receive,86174.7390,BMS_Energy_Err_SOC,00000126,--,--,--,Standard,Data frm,08,84 06 D6 01 48 01 EA 64 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,BMS_Checksum_126,86,--,,56,0,8,1,0,,
,BMS_MessageCounter_126,14,--,,E,8,4,1,0,,
,BMS_Total_KwH_In,47KWh,--,,1D6,16,16,0.1,0,,
,BMS_Total_KwH_Out,32.8KWh,--,,148,32,16,0.1,0,,
,Sys_DTC,234,Lost COMM with VCU,,EA,48,8,1,0,,
,BMS_SOC,50%,--,,64,56,8,0.5,0,,
23,Receive,86175.0379,BMS_SubPackStatus,00000129,--,--,--,Standard,Data frm,08,00 00 64 00 00 00 00 00 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,BMS_SOH,100%,--,,64,16,7,1,0,,
,BMS_SubPack0_temp_status,0,Normal_operation,,0,24,2,1,0,,
,BMS_SubPack1_temp_status,0,Normal_operation,,0,26,2,1,0,,
,BMS_SubPack2_temp_status,0,Normal_operation,,0,28,2,1,0,,
,BMS_SubPack3_temp_status,0,Normal_operation,,0,30,2,1,0,,
,BMS_SubPack4_temp_status,0,Normal_operation,,0,32,2,1,0,,
,BMS_SubPack5_temp_status,0,Normal_operation,,0,34,2,1,0,,
,BMS_SubPack6_temp_status,0,Normal_operation,,0,36,2,1,0,,
24,Receive,86175.0381,BMS_AvgTemp,00000142,--,--,--,Standard,Data frm,08,39 39 39 39 39 39 39 00 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,BMS_AvgCellTemp,27,--,,39,0,8,1,-30,,
,Module1_Temp,27,--,,39,8,8,1,-30,,
,Module2_Temp,27,--,,39,16,8,1,-30,,
,Module3_Temp,27,--,,39,24,8,1,-30,,
,Module4_Temp,27,--,,39,32,8,1,-30,,
,Module5_Temp,27,--,,39,40,8,1,-30,,
,Module6_Temp,27,--,,39,48,8,1,-30,,
25,Receive,86175.0384,Battery_ID,18FF2C83,00FF2C,83,--,Extend,Data frm,08,09 00 22 25 A0 00 00 00 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,BMS_SV_lowest,9,--,,9,0,8,1,0,,
,BMS_SV_H,0,--,,0,8,8,1,0,,
,BMS_SV_L,34,--,,22,16,8,1,0,,
,BMS_HV_H,37,--,,25,24,8,1,0,,
,BMS_HV_L,160,--,,A0,32,8,1,0,,
26,Receive,86175.0397,BMS_Cell_Voltage_info1,00000143,--,--,--,Standard,Data frm,08,E5 0C E8 0C E7 0C E7 0C ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,BMS_CellVoltage1,3.3V,--,,CE4,0,16,0.001,0,,
,BMS_CellVoltage2,3.303V,--,,CE7,16,16,0.001,0,,
,BMS_CellVoltage3,3.303V,--,,CE7,32,16,0.001,0,,
,BMS_CellVoltage4,3.303V,--,,CE7,48,16,0.001,0,,
27,Receive,86175.0399,BMS_Cell_Temp_info1,00000167,--,--,--,Standard,Data frm,08,39 39 39 39 39 39 39 39 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,BMS_CellTemp1,27,--,,39,0,8,1,-30,,
,BMS_CellTemp2,27,--,,39,8,8,1,-30,,
,BMS_CellTemp3,27,--,,39,16,8,1,-30,,
,BMS_CellTemp4,27,--,,39,24,8,1,-30,,
,BMS_CellTemp5,27,--,,39,32,8,1,-30,,
,BMS_CellTemp6,27,--,,39,40,8,1,-30,,
,BMS_CellTemp7,27,--,,39,48,8,1,-30,,
,BMS_CellTemp8,27,--,,39,56,8,1,-30,,
28,Receive,86175.0401,BMS_169,00000169,--,--,--,Standard,Data frm,08,58 02 00 32 E5 0C 00 00 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,BMS_MainNegRLYSts,0,Open,,0,0,1,1,0,,
,BMS_PreRLYSts,0,Open,,0,1,1,1,0,,
,BMS_MainPosRLYSts,0,Open,,0,2,1,1,0,,
,BMS_LowPowerVol,11V,--,,B,3,5,1,0,,
,BMS_ExternalVoltage,0V,--,,0,8,10,1,0,,
,BMS_RealSOC,50%,--,,32,24,7,1,0,,
,BMS_AvgCellVoltage,3.301V,--,,CE5,32,12,0.001,0,,
29,Receive,86175.0417,BMS_Cell_Voltage_info2,00000144,--,--,--,Standard,Data frm,08,E6 0C E7 0C E7 0C E7 0C ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,BMS_CellVoltage5,3.302V,--,,CE6,0,16,0.001,0,,
,BMS_CellVoltage6,3.303V,--,,CE7,16,16,0.001,0,,
,BMS_CellVoltage7,3.303V,--,,CE7,32,16,0.001,0,,
,BMS_CellVoltage8,3.303V,--,,CE7,48,16,0.001,0,,
30,Receive,86175.0457,BMS_Cell_Voltage_info3,00000145,--,--,--,Standard,Data frm,08,E7 0C E7 0C E7 0C E7 0C ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,BMS_CellVoltage9,3.303V,--,,CE7,0,16,0.001,0,,
,BMS_CellVoltage10,3.303V,--,,CE7,16,16,0.001,0,,
